PROSPECTID,time_since_recent_payment,time_since_first_deliquency,time_since_recent_deliquency,num_times_delinquent,max_delinquency_level,max_recent_level_of_deliq,num_deliq_6mts,num_deliq_12mts,num_deliq_6_12mts,max_deliq_6mts,max_deliq_12mts,num_times_30p_dpd,num_times_60p_dpd,num_std,num_std_6mts,num_std_12mts,num_sub,num_sub_6mts,num_sub_12mts,num_dbt,num_dbt_6mts,num_dbt_12mts,num_lss,num_lss_6mts,num_lss_12mts,recent_level_of_deliq,tot_enq,CC_enq,CC_enq_L6m,CC_enq_L12m,PL_enq,PL_enq_L6m,PL_enq_L12m,time_since_recent_enq,enq_L12m,enq_L6m,enq_L3m,MARITALSTATUS,EDUCATION,AGE,GENDER,NETMONTHLYINCOME,Time_With_Curr_Empr,pct_of_active_TLs_ever,pct_opened_TLs_L6m_of_L12m,pct_currentBal_all_TL,CC_utilization,CC_Flag,PL_utilization,PL_Flag,pct_PL_enq_L6m_of_L12m,pct_CC_enq_L6m_of_L12m,pct_PL_enq_L6m_of_ever,pct_CC_enq_L6m_of_ever,max_unsec_exposure_inPct,HL_Flag,GL_Flag,last_prod_enq2,first_prod_enq2,Credit_Score,Approved_Flag,HAS_CC,HAS_PL,Total_TL,Tot_Active_TL,Tot_Closed_TL,total_tl_opened_l6m,tot_tl_closed_l6m,pct_tl_closed_l6m,pct_tl_open_l6m,pct_active_tl,pct_closed_tl,total_tl_opened_l12m,tot_tl_closed_l12m,pct_tl_open_l12m,pct_tl_closed_l12M,Tot_Missed_Pmnt,Auto_TL,CC_TL,Consumer_TL,Gold_TL,Home_TL,PL_TL,Secured_TL,Unsecured_TL,Other_TL,Age_Oldest_TL,Age_Newest_TL
13917,44,NULL,NULL,0,NULL,0,0,0,0,0,0,0,0,36,6,12,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,383,0,0,0,Single,UNDER GRADUATE,26,M,18000,63,0.5,0,0.130999997,NULL,0,NULL,0,0,0,0,0,5,0,0,others,others,702,3,0,0,4,2,2,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,1,3,4,28,13
13918,19,35,1,4,2,2,3,3,0,2,2,0,0,19,0,5,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,8,1,1,1,Married,12TH,46,F,10000,125,1,0,0.082000002,NULL,0,NULL,0,0,0,0,0,5,0,0,ConsumerLoan,ConsumerLoan,680,2,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,82,82
13919,45,35,27,4,82,54,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,54,1,0,0,0,0,0,0,137,1,1,0,Married,OTHERS,39,M,20000,25,0.061999999,1,0.513000011,NULL,0,NULL,0,0,0,0,0,0.545000017,1,0,ConsumerLoan,ConsumerLoan,667,3,0,0,16,1,15,1,0,0,0.061999999,0.061999999,0.938000023,1,0,0.061999999,0,0,0,0,1,15,0,0,15,1,0,51,5
13920,133,NULL,NULL,0,NULL,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,3,6,5,4,Married,12TH,26,M,20500,27,0.25,0.5,0.777999997,NULL,0,NULL,0,0,0,0,0,2.171000004,0,0,ConsumerLoan,ConsumerLoan,680,2,0,0,4,1,3,1,1,0.25,0.25,0.25,0.75,2,2,0.5,0.5,1,0,0,3,0,0,0,0,4,1,53,3
13921,240,NULL,NULL,0,NULL,0,0,0,0,NULL,NULL,0,0,16,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,695,0,0,0,Married,GRADUATE,36,M,35000,217,0,0,0,NULL,0,NULL,1,0,0,0,0,NULL,0,0,PL,ConsumerLoan,716,1,0,0,3,0,3,0,0,0,0,0,1,0,1,0,0.333000004,0,1,0,1,0,0,1,1,2,0,114,23
13922,24,NULL,NULL,0,NULL,0,0,0,0,0,0,0,0,58,12,24,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,76,1,1,1,Single,UNDER GRADUATE,24,M,13500,34,0.5,1,1.269000053,NULL,0,NULL,0,0,0,0,0,NULL,1,0,others,others,706,1,0,0,6,3,3,3,2,0.333000004,0.5,0.5,0.5,3,2,0.5,0.333000004,0,0,0,0,5,0,0,6,0,1,56,2
13923,335,NULL,NULL,0,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,762,0,0,0,Married,SSC,24,F,27000,65,1,0,0.203999996,NULL,0,NULL,0,0,0,0,0,2.029999971,0,0,ConsumerLoan,ConsumerLoan,695,2,0,0,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,25,18
13924,52,NULL,NULL,0,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,1,59,4,1,1,Married,12TH,24,M,13500,35,0.666999996,0.5,1,NULL,0,NULL,0,0,0,0,0,1.085999966,0,0,ConsumerLoan,ConsumerLoan,685,2,0,0,3,2,1,1,0,0,0.333000004,0.666999996,0.333000004,2,1,0.666999996,0.333000004,1,0,0,3,0,0,0,0,3,0,13,2
13925,58,20,20,1,1,1,0,0,0,0,0,0,0,69,4,19,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,324,1,0,0,Married,12TH,54,M,48500,185,0.375,0.5,0.774999976,NULL,0,NULL,0,0,0,0,0,NULL,1,0,AL,ConsumerLoan,692,2,0,0,16,6,10,1,0,0,0.061999999,0.375,0.625,2,1,0.125,0.061999999,3,3,0,0,8,0,0,16,0,5,58,6
13926,235,15,5,13,671,548,1,9,8,548,671,10,8,11,2,4,0,0,0,0,0,0,0,0,0,548,4,0,0,0,2,1,2,94,3,2,0,Married,PROFESSIONAL,51,M,20000,329,0.42899999,0,0.546000004,NULL,0,NULL,0,0.5,0,0.5,0,7.5,0,0,others,others,628,4,0,0,7,3,4,0,0,0,0,0.42899999,0.57099998,0,0,0,0,1,2,0,0,0,0,0,6,1,5,98,15
13927,242,NULL,NULL,0,NULL,0,0,0,0,NULL,NULL,0,0,30,0,4,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Married,OTHERS,38,M,15000,77,0,0,0,NULL,0,NULL,0,0,0,0,0,NULL,1,0,others,others,697,2,0,0,4,0,4,0,0,0,0,0,1,0,1,0,0.25,0,0,0,0,1,0,0,4,0,3,55,18
13928,87,NULL,NULL,0,NULL,0,0,0,0,0,0,0,0,17,5,11,0,0,0,0,0,0,0,0,0,0,6,1,0,1,3,0,0,274,1,0,0,Single,12TH,26,M,42000,102,1,0,0.754999995,0.708999991,1,0.779999971,1,0,0,0,0,14.77799988,0,0,CC,HL,689,2,1,1,3,3,0,0,0,0,0,1,0,2,0,0.666999996,0,2,1,1,0,0,0,1,1,2,0,18,8
13929,71,NULL,NULL,0,NULL,0,0,0,0,0,0,0,0,22,10,22,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,1,1,Single,GRADUATE,25,M,30000,50,0.57099998,0.5,0.003,NULL,0,NULL,0,0,0,0,0,0.488999993,0,0,ConsumerLoan,ConsumerLoan,696,2,0,0,7,4,3,2,3,0.42899999,0.286000013,0.57099998,0.42899999,4,3,0.57099998,0.42899999,1,0,0,3,0,0,0,2,5,4,20,6
13930,78,NULL,NULL,0,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,2,1,1,Married,UNDER GRADUATE,28,M,13500,107,1,0.5,0.389999986,NULL,0,NULL,0,0,0,0,0,7.072999954,0,0,ConsumerLoan,others,671,2,0,0,6,6,0,2,0,0,0.333000004,1,0,4,0,0.666999996,0,3,0,0,3,0,0,0,0,6,3,15,3
13931,66,NULL,NULL,0,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,1,0,1,9,5,3,3,Married,GRADUATE,34,M,30000,407,0.312000006,0.25,0.566999972,NULL,0,0.810000002,1,0,0,0,0,5.84800005,1,0,others,ConsumerLoan,686,2,0,1,16,5,11,1,0,0,0.061999999,0.312000006,0.688000023,4,1,0.25,0.061999999,1,0,0,5,10,0,1,10,6,0,57,2
13932,67,NULL,NULL,0,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,1,89,3,1,1,Single,12TH,26,M,30000,130,0.75,0.5,0.360000014,NULL,0,NULL,0,0,0,0,0,2.694999933,0,0,ConsumerLoan,others,672,2,0,0,8,6,2,3,2,0.25,0.375,0.75,0.25,6,2,0.75,0.25,3,0,0,6,0,0,0,0,8,2,16,2
13933,50,NULL,NULL,0,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,13,1,1,1,Married,GRADUATE,28,M,3500,42,1,1,0.961000025,NULL,0,NULL,0,0,0,0,0,NULL,0,0,ConsumerLoan,ConsumerLoan,672,2,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,5,5
13934,75,22,17,5,163,9,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,9,4,1,0,0,1,0,0,123,2,2,0,Married,GRADUATE,30,M,28000,124,1,1,0.95599997,0,1,NULL,0,0,0,0,0,0.026000001,0,0,others,CC,660,3,1,0,2,2,0,1,0,0,0.5,1,0,1,0,0.5,0,0,1,1,0,0,0,0,1,1,0,25,4
13935,76,35,33,3,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,4,0,0,0,0,0,0,4,3,3,1,Married,SSC,41,M,22000,144,0.75,1,0.714999974,NULL,0,NULL,0,0,0,0,0,1.425999999,0,0,others,others,666,3,0,0,4,3,1,3,0,0,0.75,0.75,0.25,3,0,0.75,0,1,1,0,1,0,0,0,1,3,2,73,4
13936,35,NULL,NULL,0,NULL,0,0,0,0,0,0,0,0,13,1,7,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,1,119,3,1,0,Married,OTHERS,49,M,38000,120,0.5,0.5,0.875,NULL,0,0.83099997,1,0,0,0,0,5.921000004,1,0,others,AL,696,2,0,1,4,2,2,1,1,0.25,0.25,0.5,0.5,2,2,0.5,0.5,0,1,0,0,1,0,2,2,2,0,23,4
13937,71,NULL,NULL,0,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,3,1,1,1,Married,12TH,26,M,20000,188,1,0,0.282999992,NULL,0,NULL,0,0,0,0,0,NULL,0,0,ConsumerLoan,others,666,3,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,30,30
13938,97,NULL,NULL,0,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,1,1,66,4,4,2,Married,12TH,32,F,33000,36,1,1,0.600000024,NULL,0,NULL,0,1,0,1,0,0.538999975,0,0,ConsumerLoan,others,662,3,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,6,6
13939,64,11,7,3,11,8,0,3,3,0,11,0,0,23,8,9,0,0,0,0,0,0,0,0,0,8,5,0,0,0,1,0,0,1,3,2,2,Married,12TH,37,M,40000,95,0.713999987,0,0.730000019,NULL,0,0.745999992,1,0,0,0,0,14.60599995,1,0,ConsumerLoan,PL,683,2,0,1,7,5,2,0,0,0,0,0.713999987,0.286000013,3,1,0.42899999,0.143000007,1,0,0,1,2,0,3,2,5,1,29,7
13940,42,34,8,13,120,27,0,4,4,0,60,4,2,0,0,0,0,0,0,0,0,0,0,0,0,27,18,6,0,0,9,0,0,1,1,1,1,Married,GRADUATE,30,M,29000,93,0.286000013,0,0.338999987,0,1,0.393999994,1,0,0,0,0,20.6420002,0,0,ConsumerLoan,CC,669,2,1,1,7,2,5,0,0,0,0,0.286000013,0.713999987,0,1,0,0.143000007,0,1,2,1,0,0,3,1,6,0,72,35
13941,46,NULL,NULL,0,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,3,2,2,Married,GRADUATE,28,M,24000,66,1,0,0.085000001,NULL,0,NULL,0,0,0,0,0,0.490999997,0,0,ConsumerLoan,others,681,2,0,0,4,4,0,0,0,0,0,1,0,3,0,0.75,0,0,1,0,1,0,0,0,1,3,2,19,8
13942,73,NULL,NULL,0,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,521,0,0,0,Single,SSC,23,M,45000,87,0.666999996,0,0.147,NULL,0,NULL,0,0,0,0,0,NULL,0,0,others,others,683,2,0,0,3,2,1,0,0,0,0,0.666999996,0.333000004,0,0,0,0,0,2,0,1,0,0,0,2,1,0,28,17
13943,179,35,3,21,591,104,3,6,3,74,74,16,14,1,0,0,0,0,0,0,0,0,0,0,0,13,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Married,12TH,27,M,15000,130,0.600000024,0,0.972000003,NULL,0,NULL,0,0,0,0,0,5.666999817,1,0,others,others,662,3,0,0,5,3,2,0,0,0,0,0.600000024,0.400000006,0,1,0,0.200000003,1,0,0,0,1,0,0,2,3,4,51,13
13944,89,35,9,16,214,183,0,3,3,0,82,13,12,1,0,1,0,0,0,0,0,0,0,0,0,20,7,0,0,0,1,0,0,3,5,5,5,Married,SSC,29,M,25000,88,0.125,0,0.74000001,NULL,0,NULL,0,0,0,0,0,NULL,1,0,ConsumerLoan,PL,644,4,0,0,8,1,7,0,0,0,0,0.125,0.875,0,2,0,0.25,0,0,0,0,6,0,0,7,1,2,67,24
13945,NULL,NULL,NULL,0,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Single,GRADUATE,22,M,60000,51,1,0,0.787,NULL,0,NULL,0,0,0,0,0,NULL,0,0,others,others,671,2,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,12,12
13946,61,NULL,NULL,0,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,314,1,0,0,Single,12TH,29,M,21500,74,0.800000012,0.5,0.187999994,NULL,0,NULL,0,0,0,0,0,2.201999903,0,0,others,ConsumerLoan,687,2,0,0,5,4,1,1,0,0,0.200000003,0.800000012,0.200000003,2,0,0.400000006,0,0,1,0,4,0,0,0,1,4,0,34,6
13947,NULL,24,1,12,1,1,4,7,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Married,12TH,36,M,25000,249,1,0,0.388999999,NULL,0,NULL,0,0,0,0,0,NULL,0,0,others,others,685,2,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,44,44
13948,40,NULL,NULL,0,NULL,0,0,0,0,0,0,0,0,8,8,8,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,84,6,3,1,Married,SSC,31,M,40000,191,1,0.666999996,0.985000014,NULL,0,NULL,0,0,0,0,0,1.605000019,0,1,others,HL,685,2,0,0,4,4,0,2,0,0,0.5,1,0,3,0,0.75,0,0,0,0,2,0,2,0,2,2,0,12,3
13949,2083,NULL,NULL,0,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,1,1,1,4,4,1,Married,12TH,34,M,25000,187,0.5,1,0.800000012,NULL,0,NULL,0,1,0,1,0,0.920000017,0,0,ConsumerLoan,HL,699,2,0,0,2,1,1,1,0,0,0.5,0.5,0.5,1,0,0.5,0,1,0,0,1,0,0,0,1,1,1,104,4
13950,33,NULL,NULL,0,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,1,1,1,Married,SSC,38,M,35000,199,1,0,0.545000017,NULL,0,0.545000017,1,0,0,0,0,1.42900002,0,0,ConsumerLoan,others,680,2,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,15,15
13951,74,NULL,NULL,0,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,1,76,2,2,1,Married,12TH,25,M,15000,66,1,1,0.398999989,NULL,0,NULL,0,1,0,1,0,1.598999977,0,0,others,PL,673,2,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,5,5
13952,73,NULL,NULL,0,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,1,1,1,Married,SSC,38,F,30000,66,1,1,0.634000003,NULL,0,NULL,0,0,0,0,0,NULL,0,1,ConsumerLoan,ConsumerLoan,678,2,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,4,4
13953,811,29,20,9,900,816,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,816,32,1,0,1,12,9,11,7,13,10,10,Married,12TH,34,F,25000,100,0.333000004,1,0.437000006,NULL,0,1,1,0.818000019,0,0.75,0,0.915000021,1,0,PL,ConsumerLoan,645,4,0,1,6,2,4,1,0,0,0.166999996,0.333000004,0.666999996,1,0,0.166999996,0,1,0,0,1,4,0,1,4,2,0,72,2
13954,57,11,6,6,44,10,0,6,6,0,44,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,0,0,0,0,0,0,2,1,1,1,Married,12TH,30,F,12000,148,1,0,0.219999999,NULL,0,NULL,0,0,0,0,0,5.375,0,0,others,ConsumerLoan,658,4,0,0,2,2,0,0,0,0,0,1,0,1,0,0.5,0,0,0,0,2,0,0,0,0,2,0,23,12
13955,74,NULL,NULL,0,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,149,1,1,0,Married,UNDER GRADUATE,29,F,15000,65,1,1,0.777999997,NULL,0,NULL,0,1,0,1,0,1.052999973,0,0,PL,PL,666,3,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,5,5
13956,544,31,31,1,51,51,0,0,0,NULL,NULL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,51,1,0,0,0,1,1,1,2,1,1,1,Single,GRADUATE,25,M,15000,13,0.090999998,0,0,NULL,0,NULL,0,1,0,1,0,NULL,1,0,PL,PL,652,4,0,0,11,1,10,0,0,0,0,0.090999998,0.908999979,0,0,0,0,0,0,0,0,11,0,0,11,0,0,44,19
13957,47,NULL,NULL,0,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,455,0,0,0,Married,12TH,38,M,20000,245,1,0,0.726999998,NULL,0,NULL,0,0,0,0,0,NULL,0,0,others,others,686,2,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,15,15
13958,71,NULL,NULL,0,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,137,1,1,0,Married,12TH,37,F,23000,95,1,0,0.694000006,NULL,0,NULL,0,0,0,0,0,NULL,0,0,others,others,678,2,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,12,12
13959,NULL,NULL,NULL,0,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,171,1,1,0,Single,PROFESSIONAL,25,M,26000,40,1,1,0.943000019,NULL,0,NULL,0,0,0,0,0,NULL,0,0,others,others,669,2,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,5,5
13960,66,NULL,NULL,0,NULL,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,245,1,0,0,Married,GRADUATE,33,M,30000,68,1,0,0.201000005,NULL,0,NULL,0,0,0,0,0,0.606999993,0,0,others,others,713,1,0,0,2,2,0,0,0,0,0,1,0,1,0,0.5,0,0,0,0,1,0,0,0,0,2,1,157,8
13961,173,NULL,NULL,0,NULL,0,0,0,0,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,376,0,0,0,Married,SSC,54,F,18000,274,0,0,0,NULL,0,NULL,0,0,0,0,0,NULL,0,0,ConsumerLoan,ConsumerLoan,679,2,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,13,13
13962,NULL,13,13,1,1,1,0,0,0,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,95,1,1,0,Single,GRADUATE,22,F,16000,30,1,0,5,NULL,0,NULL,0,0,0,0,0,0,0,0,others,others,663,3,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,16,16
13963,81,NULL,NULL,0,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,2,195,2,0,0,Married,UNDER GRADUATE,49,M,31000,181,0.5,0,0.949000001,NULL,0,0.949000001,1,0,0,0,0,3.226000071,0,0,PL,others,683,2,0,1,2,1,1,0,1,0.5,0,0.5,0.5,1,1,0.5,0.5,0,0,0,1,0,0,1,0,2,0,15,6
13964,60,NULL,NULL,0,NULL,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,12,3,1,1,Married,POST-GRADUATE,47,M,80000,362,0.800000012,0.5,0.935000002,NULL,0,0.98299998,1,0,0,0,0,6.244999886,0,0,ConsumerLoan,AL,690,2,0,1,5,4,1,1,0,0,0.200000003,0.800000012,0.200000003,2,0,0.400000006,0,1,2,0,0,0,0,1,2,3,2,54,3
13965,183,NULL,NULL,0,NULL,0,0,0,0,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,962,0,0,0,Married,POST-GRADUATE,33,F,12000,48,0,0,0,NULL,0,NULL,0,0,0,0,0,NULL,0,0,others,others,689,2,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,32,32
13966,90,35,1,26,82,21,2,7,5,33,33,10,1,10,5,10,0,0,0,0,0,0,0,0,0,3,6,4,0,0,0,0,0,18,1,1,1,Married,SSC,36,M,45000,68,0.275999993,0,0.356000006,0.866999984,1,NULL,0,0,0,0,0,2.140000105,1,0,ConsumerLoan,ConsumerLoan,694,2,1,0,29,8,21,0,0,0,0,0.275999993,0.723999977,1,1,0.034000002,0.034000002,0,0,1,3,24,0,0,24,5,1,59,11
13967,650,NULL,NULL,0,NULL,0,0,0,0,NULL,NULL,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Married,OTHERS,56,M,25000,361,0,0,0,NULL,0,NULL,1,0,0,0,0,NULL,0,0,others,others,677,2,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,46,46
13968,42,NULL,NULL,0,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,56,2,1,1,Single,12TH,25,M,15000,105,0.666999996,0.5,0.344999999,NULL,0,NULL,0,0,0,0,0,0.70599997,0,0,ConsumerLoan,others,690,2,0,0,3,2,1,1,1,0.333000004,0.333000004,0.666999996,0.333000004,2,1,0.666999996,0.333000004,0,1,0,2,0,0,0,1,2,0,32,2
13969,NULL,NULL,NULL,0,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,514,0,0,0,Married,12TH,30,M,25000,30,1,0,0.666000009,1,1,NULL,0,0,0,0,0,0.024,0,0,CC,AL,687,2,1,0,2,2,0,0,0,0,0,1,0,0,0,0,0,2,1,1,0,0,0,0,1,1,0,24,17
13970,50,31,30,2,58,28,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,28,11,0,0,0,2,0,0,3,2,1,1,Married,12TH,54,M,130000,311,0.375,0,0.600000024,NULL,0,0.699000001,1,0,0,0,0,4.691999912,1,0,ConsumerLoan,others,682,2,0,1,8,3,5,0,0,0,0,0.375,0.625,0,0,0,0,1,3,0,2,2,0,1,5,3,0,168,12
13971,59,14,14,1,3,3,0,0,0,0,0,0,0,35,0,2,0,0,0,0,0,0,0,0,0,3,7,2,0,0,0,0,0,2,1,1,1,Married,SSC,48,M,45000,332,0.312000006,0,0.662999988,0.975000024,1,NULL,1,0,0,0,0,19.08300018,1,0,ConsumerLoan,ConsumerLoan,690,2,1,0,16,5,11,0,1,0.061999999,0,0.312000006,0.688000023,0,1,0,0.061999999,0,1,1,3,1,0,2,7,9,8,146,15
13972,66,NULL,NULL,0,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,10,1,1,1,Married,12TH,35,M,35000,188,1,0.666999996,0.210999995,NULL,0,NULL,0,0,0,0,0,1.286999941,0,0,ConsumerLoan,others,678,2,0,0,5,5,0,2,0,0,0.400000006,1,0,3,0,0.600000024,0,1,0,0,3,0,0,0,0,5,2,14,5
13973,59,NULL,NULL,0,NULL,0,0,0,0,NULL,NULL,0,0,26,7,10,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Married,UNDER GRADUATE,48,F,20000,150,0.666999996,1,0.734000027,NULL,0,NULL,0,0,0,0,0,NULL,1,0,others,others,703,1,0,0,3,2,1,2,0,0,0.666999996,0.666999996,0.333000004,2,1,0.666999996,0.333000004,0,0,0,0,3,0,0,3,0,0,27,4
13974,1039,21,21,1,59,59,0,0,0,NULL,NULL,1,0,33,4,10,0,0,0,0,0,0,0,0,0,59,1,0,0,0,0,0,0,1135,0,0,0,Married,SSC,41,M,31000,138,1,0,0.601999998,NULL,0,NULL,0,0,0,0,0,NULL,0,1,HL,HL,678,2,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,36,36
13975,46,NULL,NULL,0,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,11,1,1,1,Married,GRADUATE,34,M,25000,66,0.75,0,0.375999987,0,1,NULL,0,0,0,0,0,0.773999989,0,0,ConsumerLoan,others,701,3,1,0,4,3,1,0,0,0,0,0.75,0.25,0,0,0,0,0,2,1,0,0,0,0,2,2,1,139,16
13976,275,NULL,NULL,0,NULL,0,0,0,0,0,0,0,0,11,5,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,458,0,0,0,Married,12TH,25,F,17000,53,1,0,1.001000047,NULL,0,NULL,0,0,0,0,0,NULL,1,0,others,others,682,2,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,11,11
